metric,architecture,location,method,train_mean,train_sd,test_mean,test_sd,gap_abs,deg_pct
total_unmet_kwh,PCM,Alaska,LP_Worst,3485.9064666666663,254.93604804033154,2071.488213333333,860.8523628294322,-1414.4182533333333,-40.57533576584585
total_unmet_kwh,PCM,Alaska,SO_CVaR,2602.0493333333334,143.22645228506735,2613.2148533333334,861.7750770017758,11.165520000000015,0.4291048542763991
total_unmet_kwh,PCM,Minnesota,LP_Avg,351.25518666666665,17.672424217117975,376.4656933333334,108.30228816403547,25.21050666666673,7.177262464337912
total_unmet_kwh,PCM,Minnesota,LP_Worst,552.0226666666667,30.549160708602106,246.1118933333333,107.91266310135146,-305.9107733333334,-55.41634280717942
total_unmet_kwh,PCM,Minnesota,SO_CVaR,300.2878,28.90557156751003,301.7338266666667,100.3636159347666,1.4460266666666826,0.4815469248723
total_unmet_kwh,PCM,California,LP_Avg,70.47273333333334,2.891912223651604,79.36527880000001,40.873391579774676,8.892545466666675,12.618419984656015
total_unmet_kwh,PCM,California,LP_Worst,81.23599999999999,1.8410293014748222,30.037291599999996,22.27666042030996,-51.198708399999994,-63.024654586636466
total_unmet_kwh,PCM,California,SO_CVaR,43.439298666666666,3.781968959759075,45.66296333333334,32.53311457629232,2.2236646666666715,5.119016040590476
total_unmet_kwh,PCM,Arizona,LP_Avg,72.94406666666666,2.4163566752045433,79.53142666666666,19.657778523786,6.587360000000004,9.030700235157356
total_unmet_kwh,PCM,Arizona,LP_Worst,110.61153333333334,2.6718030907152484,55.81506666666667,22.104537673568792,-54.796466666666674,-49.539559768631726
total_unmet_kwh,PCM,Arizona,SO_CVaR,59.0264,6.774466028157984,60.21454666666667,22.90391581335675,1.1881466666666682,2.012907218916736
total_unmet_kwh,PCM,Florida,LP_Avg,28.672799999999995,1.2661972389468668,47.476234266666665,45.61293868645338,18.80343426666667,65.57934441933357
total_unmet_kwh,PCM,Florida,LP_Worst,39.1584,2.46548855199127,19.42574533333333,17.635986292415733,-19.73265466666667,-50.39188186102259
total_unmet_kwh,PCM,Florida,SO_CVaR,13.855152,2.2545090004916326,17.167462933333333,18.326791277883093,3.3123109333333325,23.906709456044457
